Player,Opponent,Player_Score,Opponent_Score,Result,Table Points,Gameweek,GW Rank,Luck Points
Karl,John,53,35,Win,3,24,4.0,3
Mikey,Tim,41,40,Win,3,24,7.0,0
Tim,Mikey,40,41,Lose,0,24,8.0,0
Nick,Sam,78,76,Win,3,24,2.0,3
Sam,Nick,76,78,Lose,0,24,3.0,3
Matt,Andy,49,49,Draw,1,25,3.0,3
Andy,Matt,49,49,Draw,1,25,3.0,3
Mike,Karl,46,44,Win,3,25,6.0,1
Karl,Mike,44,46,Lose,0,25,7.0,0
Dove,Tim,44,22,Win,3,25,7.0,0
Tim,Dove,22,44,Lose,0,25,10.0,0
John,Sam,56,48,Win,3,25,2.0,3
Sam,John,48,56,Lose,0,25,5.0,1
Mikey,Nick,71,36,Win,3,25,1.0,3
Nick,Mikey,36,71,Lose,0,25,9.0,0
Matt,Karl,30,28,Win,3,26,9.0,0
Karl,Matt,28,30,Lose,0,26,10.0,0
Andy,Tim,44,59,Lose,0,26,4.0,3
Tim,Andy,59,44,Win,3,26,2.0,3
Mike,Sam,63,42,Win,3,26,1.0,3
Sam,Mike,42,63,Lose,0,26,5.0,1
Dove,Nick,41,47,Lose,0,26,6.0,1
Nick,Dove,47,41,Win,3,26,3.0,3
John,Mikey,36,40,Lose,0,26,8.0,0
Mikey,John,40,36,Win,3,26,7.0,0
Matt,Tim,47,56,Lose,0,27,7.0,0
Tim,Matt,56,47,Win,3,27,3.0,3
Karl,Sam,53,34,Win,3,27,5.0,1
Sam,Karl,34,53,Lose,0,27,10.0,0
Andy,Nick,60,70,Lose,0,27,2.0,3
Nick,Andy,70,60,Win,3,27,1.0,3
Mike,Mikey,39,37,Win,3,27,8.0,0
Mikey,Mike,37,39,Lose,0,27,9.0,0
Dove,John,55,51,Win,3,27,4.0,3
John,Dove,51,55,Lose,0,27,6.0,1
John,Nick,40,71,Lose,0,28,4.0,3
Nick,John,71,40,Win,3,28,1.0,3
Matt,Sam,36,65,Lose,0,28,6.0,1
Sam,Matt,65,36,Win,3,28,2.0,3
Andy,Tim,33,44,Lose,0,28,8.0,0
Tim,Andy,44,33,Win,3,28,3.0,3
Dove,Mikey,36,33,Win,3,28,6.0,1
Mikey,Dove,33,36,Lose,0,28,8.0,0
Mike,Karl,37,23,Win,3,28,5.0,1
Karl,Mike,23,37,Lose,0,28,10.0,0
John,Sam,41,32,Win,3,29,5.0,1
Sam,John,32,41,Lose,0,29,6.0,1
Nick,Tim,55,61,Lose,0,29,2.0,3
Tim,Nick,61,55,Win,3,29,1.0,3
Matt,Mikey,32,28,Win,3,29,6.0,1
Mikey,Matt,28,32,Lose,0,29,10.0,0
Andy,Karl,49,51,Lose,0,29,4.0,3
Karl,Andy,51,49,Win,3,29,3.0,3
Dove,Mike,32,30,Win,3,29,6.0,1
Mike,Dove,30,32,Lose,0,29,9.0,0
John,Tim,31,61,Lose,0,30,9.0,0
Tim,John,61,31,Win,3,30,2.0,3
Sam,Mikey,20,49,Lose,0,30,10.0,0
Mikey,Sam,49,20,Win,3,30,3.0,3
Nick,Karl,45,40,Win,3,30,4.0,3
Karl,Nick,40,45,Lose,0,30,5.0,1
Matt,Mike,39,32,Win,3,30,6.0,1
Mike,Matt,32,39,Lose,0,30,8.0,0
Andy,Dove,70,35,Win,3,30,1.0,3
Dove,Andy,35,70,Lose,0,30,7.0,0
John,Mikey,40,55,Lose,0,31,5.0,1
Mikey,John,55,40,Win,3,31,1.0,3
Tim,Karl,37,29,Win,3,31,6.0,1
Karl,Tim,29,37,Lose,0,31,7.0,0
Sam,Mike,26,26,Draw,1,31,9.0,0
Mike,Sam,26,26,Draw,1,31,9.0,0
Nick,Dove,41,29,Win,3,31,3.0,3
Dove,Nick,29,41,Lose,0,31,7.0,0
Matt,Andy,41,51,Lose,0,31,3.0,3
Andy,Matt,51,41,Win,3,31,2.0,3
John,Karl,39,44,Lose,0,32,7.0,0
Karl,John,44,39,Win,3,32,6.0,1
Mikey,Mike,91,64,Win,3,32,1.0,3
Mike,Mikey,64,91,Lose,0,32,2.0,3
Tim,Dove,53,30,Win,3,32,4.0,3
Dove,Tim,30,53,Lose,0,32,10.0,0
Sam,Andy,60,49,Win,3,32,3.0,3
Andy,Sam,49,60,Lose,0,32,5.0,1
Nick,Matt,39,39,Draw,1,32,7.0,0
Matt,Nick,39,39,Draw,1,32,7.0,0
