Player,Table Points,Player_Score,Rank,Simulation
John,43,1232.0,8,260
Dove,42,1469.0,9,260
Karl,41,1464.0,10,260
Matt,68,1600.0,1,261
Mike,65,1482.0,2,261
Sam,63,1555.0,3,261
Andy,57,1557.0,4,261
Nick,57,1465.0,5,261
Tim,55,1579.0,6,261
Mikey,46,1418.0,7,261
John,45,1320.0,8,261
Dove,44,1483.0,9,261
Karl,33,1485.0,10,261
Sam,64,1508.0,1,262
Matt,61,1623.0,2,262
Mike,61,1510.0,3,262
Nick,58,1499.0,4,262
Andy,57,1614.0,5,262
Tim,55,1577.0,6,262
Mikey,49,1523.0,7,262
John,46,1343.0,8,262
Karl,41,1460.0,9,262
Dove,40,1466.0,10,262
Tim,68,1541.0,1,263
Mikey,61,1504.0,2,263
Andy,60,1550.0,3,263
Sam,57,1506.0,4,263
Nick,57,1431.0,5,263
Matt,54,1530.0,6,263
Dove,51,1544.0,7,263
Mike,50,1439.0,8,263
John,39,1245.0,9,263
Karl,35,1370.0,10,263
Tim,71,1575.0,1,264
Matt,69,1655.0,2,264
Mike,67,1470.0,3,264
John,52,1385.0,4,264
Nick,51,1467.0,5,264
Andy,49,1509.0,6,264
Sam,47,1403.0,7,264
Mikey,46,1413.0,8,264
Dove,45,1459.0,9,264
Karl,35,1432.0,10,264
Matt,68,1628.0,1,265
Tim,67,1666.0,2,265
Sam,63,1557.0,3,265
Andy,54,1621.0,4,265
Mike,49,1433.0,5,265
John,49,1282.0,6,265
Nick,48,1442.0,7,265
Karl,47,1470.0,8,265
Mikey,46,1464.0,9,265
Dove,44,1459.0,10,265
Sam,66,1463.0,1,266
Mikey,62,1475.0,2,266
Mike,61,1447.0,3,266
Andy,57,1520.0,4,266
Nick,56,1474.0,5,266
Matt,53,1589.0,6,266
Tim,53,1555.0,7,266
Karl,43,1545.0,8,266
Dove,41,1474.0,9,266
John,40,1247.0,10,266
Matt,69,1599.0,1,267
Tim,68,1600.0,2,267
Sam,61,1413.0,3,267
Nick,58,1514.0,4,267
Andy,57,1558.0,5,267
Mike,52,1488.0,6,267
John,50,1397.0,7,267
Mikey,44,1401.0,8,267
Dove,38,1442.0,9,267
Karl,35,1503.0,10,267
Andy,62,1686.0,1,268
Tim,62,1545.0,2,268
Matt,56,1567.0,3,268
Dove,54,1560.0,4,268
Mike,54,1467.0,5,268
Sam,54,1428.0,6,268
Nick,51,1437.0,7,268
John,49,1349.0,8,268
Karl,45,1439.0,9,268
Mikey,44,1497.0,10,268
Matt,65,1573.0,1,269
Nick,58,1463.0,2,269
Mikey,57,1517.0,3,269
Sam,57,1470.0,4,269
Andy,54,1614.0,5,269
Tim,53,1475.0,6,269
Mike,49,1437.0,7,269
John,48,1252.0,8,269
Karl,45,1530.0,9,269
Dove,45,1524.0,10,269
Matt,66,1598.0,1,270
Nick,66,1506.0,2,270
Tim,59,1526.0,3,270
Mike,59,1465.0,4,270
Andy,52,1548.0,5,270
Sam,52,1435.0,6,270
Mikey,46,1404.0,7,270
Karl,45,1498.0,8,270
John,45,1357.0,9,270
Dove,41,1372.0,10,270
Sam,66,1401.0,1,271
John,64,1447.0,2,271
Dove,56,1596.0,3,271
Nick,54,1439.0,4,271
Matt,52,1548.0,5,271
Tim,52,1537.0,6,271
Mike,52,1387.0,7,271
Karl,50,1496.0,8,271
Mikey,49,1454.0,9,271
Andy,38,1478.0,10,271
Mike,68,1471.0,1,272
Sam,60,1486.0,2,272
Andy,57,1614.0,3,272
Nick,55,1459.0,4,272
Tim,54,1581.0,5,272
Matt,51,1563.0,6,272
Dove,51,1547.0,7,272
John,47,1343.0,8,272
Mikey,46,1408.0,9,272
Karl,42,1528.0,10,272
Nick,63,1474.0,1,273
Matt,62,1600.0,2,273
Andy,60,1679.0,3,273
Mikey,55,1518.0,4,273
John,55,1351.0,5,273
Tim,52,1566.0,6,273
Mike,52,1456.0,7,273
Sam,51,1484.0,8,273
Dove,45,1489.0,9,273
Karl,39,1512.0,10,273
Matt,68,1670.0,1,274
Nick,62,1527.0,2,274
Mikey,58,1471.0,3,274
Andy,57,1557.0,4,274
Sam,55,1492.0,5,274
John,52,1302.0,6,274
Karl,50,1554.0,7,274
Tim,50,1528.0,8,274
Mike,41,1389.0,9,274
Dove,39,1427.0,10,274
Andy,64,1634.0,1,275
Tim,62,1625.0,2,275
Matt,59,1597.0,3,275
Sam,57,1499.0,4,275
Mikey,52,1457.0,5,275
Mike,52,1413.0,6,275
Dove,48,1532.0,7,275
Nick,48,1454.0,8,275
John,47,1368.0,9,275
Karl,44,1531.0,10,275
Nick,70,1491.0,1,276
Matt,68,1557.0,2,276
Andy,66,1569.0,3,276
Mikey,58,1477.0,4,276
Mike,55,1425.0,5,276
Tim,52,1595.0,6,276
Sam,45,1338.0,7,276
John,44,1197.0,8,276
Dove,41,1496.0,9,276
Karl,35,1414.0,10,276
Tim,74,1658.0,1,277
Andy,60,1594.0,2,277
Dove,56,1509.0,3,277
Nick,55,1495.0,4,277
Sam,55,1435.0,5,277
Mike,53,1476.0,6,277
John,47,1322.0,7,277
Matt,46,1606.0,8,277
Karl,43,1512.0,9,277
Mikey,41,1384.0,10,277
Sam,60,1446.0,1,278
John,60,1354.0,2,278
Tim,59,1581.0,3,278
Matt,59,1534.0,4,278
Andy,56,1521.0,5,278
Mike,55,1495.0,6,278
Mikey,52,1409.0,7,278
Nick,49,1440.0,8,278
Dove,44,1473.0,9,278
Karl,38,1444.0,10,278
Andy,62,1615.0,1,279
Matt,62,1606.0,2,279
Mike,62,1445.0,3,279
Sam,61,1472.0,4,279
Tim,53,1590.0,5,279
Nick,52,1494.0,6,279
Dove,51,1518.0,7,279
Mikey,43,1459.0,8,279
John,43,1349.0,9,279
Karl,41,1391.0,10,279
Andy,72,1589.0,1,280
Mike,64,1446.0,2,280
Nick,60,1481.0,3,280
Tim,59,1591.0,4,280
Matt,56,1584.0,5,280
Mikey,49,1395.0,6,280
John,49,1242.0,7,280
Sam,43,1422.0,8,280
Karl,41,1506.0,9,280
Dove,41,1449.0,10,280
Tim,67,1618.0,1,281
Andy,63,1594.0,2,281
Matt,62,1585.0,3,281
Mike,61,1461.0,4,281
Nick,57,1458.0,5,281
Sam,55,1396.0,6,281
John,47,1280.0,7,281
Dove,44,1558.0,8,281
Mikey,40,1311.0,9,281
Karl,38,1448.0,10,281
Andy,63,1588.0,1,282
Matt,60,1509.0,2,282
Nick,60,1420.0,3,282
Mike,58,1470.0,4,282
Sam,56,1465.0,5,282
Mikey,55,1441.0,6,282
Tim,52,1524.0,7,282
John,51,1348.0,8,282
Dove,44,1447.0,9,282
Karl,33,1431.0,10,282
Andy,65,1580.0,1,283
Sam,63,1479.0,2,283
Mikey,58,1469.0,3,283
Mike,58,1433.0,4,283
Nick,56,1478.0,5,283
Tim,55,1500.0,6,283
Karl,51,1519.0,7,283
Matt,50,1489.0,8,283
Dove,38,1450.0,9,283
John,37,1253.0,10,283
Andy,66,1660.0,1,284
Mike,61,1452.0,2,284
John,58,1349.0,3,284
Matt,57,1575.0,4,284
Sam,57,1352.0,5,284
Nick,52,1469.0,6,284
Tim,49,1511.0,7,284
Dove,47,1514.0,8,284
Karl,47,1475.0,9,284
Mikey,40,1378.0,10,284
Sam,66,1467.0,1,285
Matt,61,1648.0,2,285
Mikey,61,1498.0,3,285
Mike,59,1444.0,4,285
Tim,56,1566.0,5,285
John,55,1298.0,6,285
Andy,52,1555.0,7,285
Nick,52,1520.0,8,285
Karl,37,1402.0,9,285
Dove,32,1436.0,10,285
Andy,66,1638.0,1,286
Tim,65,1602.0,2,286
Sam,60,1500.0,3,286
Nick,55,1470.0,4,286
Dove,53,1582.0,5,286
John,50,1281.0,6,286
Mikey,49,1449.0,7,286
Mike,49,1415.0,8,286
Matt,48,1524.0,9,286
Karl,38,1435.0,10,286
Mike,76,1521.0,1,287
Tim,62,1511.0,2,287
Sam,60,1509.0,3,287
Andy,54,1543.0,4,287
Matt,53,1557.0,5,287
Nick,52,1434.0,6,287
Mikey,52,1382.0,7,287
John,52,1317.0,8,287
Karl,38,1431.0,9,287
Dove,35,1333.0,10,287
Andy,78,1693.0,1,288
Tim,67,1608.0,2,288
Sam,66,1494.0,3,288
Matt,54,1551.0,4,288
Mike,52,1457.0,5,288
Dove,50,1560.0,6,288
Mikey,49,1461.0,7,288
Nick,40,1428.0,8,288
John,40,1322.0,9,288
Karl,38,1496.0,10,288
Sam,60,1441.0,1,289
Matt,59,1563.0,2,289
Mikey,58,1481.0,3,289
Tim,54,1619.0,4,289
Andy,54,1540.0,5,289
Karl,53,1561.0,6,289
Mike,52,1503.0,7,289
Nick,51,1476.0,8,289
John,48,1377.0,9,289
Dove,43,1509.0,10,289
Mike,70,1537.0,1,290
Andy,66,1629.0,2,290
Sam,66,1516.0,3,290
Mikey,61,1414.0,4,290
Matt,59,1597.0,5,290
Tim,55,1582.0,6,290
Karl,41,1452.0,7,290
John,40,1250.0,8,290
Nick,39,1412.0,9,290
Dove,38,1454.0,10,290
Sam,70,1525.0,1,291
Matt,61,1642.0,2,291
Andy,61,1637.0,3,291
Tim,55,1566.0,4,291
Nick,55,1480.0,5,291
Karl,53,1547.0,6,291
John,49,1330.0,7,291
Mike,46,1407.0,8,291
Mikey,44,1465.0,9,291
Dove,38,1501.0,10,291
Matt,63,1613.0,1,292
Nick,63,1474.0,2,292
Tim,62,1565.0,3,292
Sam,61,1509.0,4,292
Andy,57,1598.0,5,292
Karl,50,1549.0,6,292
Mikey,49,1481.0,7,292
Mike,49,1468.0,8,292
John,41,1238.0,9,292
Dove,38,1452.0,10,292
Tim,70,1599.0,1,293
Nick,61,1530.0,2,293
Mikey,58,1438.0,3,293
Mike,58,1435.0,4,293
Andy,57,1599.0,5,293
Sam,51,1439.0,6,293
Dove,50,1501.0,7,293
John,47,1337.0,8,293
Matt,41,1561.0,9,293
Karl,41,1542.0,10,293
Sam,63,1410.0,1,294
Tim,59,1578.0,2,294
Matt,57,1552.0,3,294
Mikey,56,1425.0,4,294
Andy,55,1640.0,5,294
Mike,53,1546.0,6,294
Dove,53,1507.0,7,294
John,52,1344.0,8,294
Karl,42,1443.0,9,294
Nick,42,1397.0,10,294
Tim,73,1604.0,1,295
Matt,65,1556.0,2,295
Sam,63,1457.0,3,295
Nick,57,1451.0,4,295
Mike,55,1471.0,5,295
Mikey,55,1452.0,6,295
Andy,54,1532.0,7,295
Karl,41,1467.0,8,295
John,37,1188.0,9,295
Dove,35,1536.0,10,295
Andy,66,1613.0,1,296
Matt,60,1622.0,2,296
Mikey,60,1406.0,3,296
Mike,55,1485.0,4,296
Tim,53,1557.0,5,296
John,53,1413.0,6,296
Sam,51,1425.0,7,296
Dove,50,1541.0,8,296
Nick,42,1471.0,9,296
Karl,42,1455.0,10,296
Sam,66,1483.0,1,297
Nick,65,1580.0,2,297
Tim,58,1652.0,3,297
Matt,55,1519.0,4,297
Dove,54,1622.0,5,297
Andy,54,1621.0,6,297
Mikey,53,1462.0,7,297
Mike,48,1407.0,8,297
Karl,39,1485.0,9,297
John,38,1394.0,10,297
Nick,63,1471.0,1,298
Tim,61,1528.0,2,298
Matt,60,1556.0,3,298
Sam,55,1419.0,4,298
Mikey,53,1407.0,5,298
John,52,1325.0,6,298
Dove,51,1518.0,7,298
Andy,51,1505.0,8,298
Mike,49,1443.0,9,298
Karl,37,1506.0,10,298
Matt,72,1643.0,1,299
Sam,67,1430.0,2,299
Tim,58,1619.0,3,299
Andy,54,1568.0,4,299
Nick,51,1388.0,5,299
Mikey,49,1454.0,6,299
John,49,1342.0,7,299
Dove,47,1572.0,8,299
Karl,44,1446.0,9,299
Mike,43,1345.0,10,299
Sam,66,1487.0,1,300
Matt,60,1589.0,2,300
Tim,59,1558.0,3,300
Andy,58,1524.0,4,300
Nick,57,1430.0,5,300
Mike,55,1478.0,6,300
Mikey,52,1463.0,7,300
John,52,1334.0,8,300
Dove,45,1525.0,9,300
Karl,29,1461.0,10,300
Tim,63,1629.0,1,301
Andy,61,1633.0,2,301
Mike,61,1440.0,3,301
Nick,60,1510.0,4,301
Dove,59,1541.0,5,301
Matt,56,1566.0,6,301
Mikey,49,1426.0,7,301
Sam,42,1461.0,8,301
John,41,1302.0,9,301
Karl,38,1515.0,10,301
Matt,74,1693.0,1,302
Mike,67,1496.0,2,302
Tim,64,1636.0,3,302
Sam,57,1488.0,4,302
Andy,54,1612.0,5,302
Dove,53,1514.0,6,302
Nick,46,1440.0,7,302
John,43,1334.0,8,302
Mikey,41,1435.0,9,302
Karl,35,1448.0,10,302
Sam,67,1554.0,1,303
Nick,66,1553.0,2,303
Mikey,64,1515.0,3,303
Andy,63,1639.0,4,303
Tim,58,1518.0,5,303
Matt,56,1629.0,6,303
Mike,52,1390.0,7,303
Karl,38,1452.0,8,303
Dove,36,1497.0,9,303
John,34,1262.0,10,303
Matt,69,1575.0,1,304
Nick,63,1398.0,2,304
Andy,60,1579.0,3,304
Dove,57,1531.0,4,304
Sam,53,1367.0,5,304
Tim,51,1543.0,6,304
Mike,47,1449.0,7,304
Mikey,46,1476.0,8,304
John,43,1213.0,9,304
Karl,42,1451.0,10,304
Mikey,67,1528.0,1,305
Tim,66,1600.0,2,305
Nick,62,1529.0,3,305
Sam,54,1452.0,4,305
Dove,52,1567.0,5,305
Mike,52,1480.0,6,305
Matt,51,1607.0,7,305
Andy,49,1518.0,8,305
John,43,1312.0,9,305
Karl,35,1450.0,10,305
Matt,72,1675.0,1,306
Nick,63,1573.0,2,306
Tim,61,1585.0,3,306
Mikey,58,1440.0,4,306
Sam,57,1442.0,5,306
Andy,52,1583.0,6,306
John,52,1408.0,7,306
Karl,47,1533.0,8,306
Mike,46,1439.0,9,306
Dove,26,1418.0,10,306
Matt,63,1569.0,1,307
Tim,62,1684.0,2,307
Nick,58,1465.0,3,307
Sam,57,1484.0,4,307
Mikey,52,1502.0,5,307
John,52,1367.0,6,307
Mike,50,1402.0,7,307
Andy,49,1553.0,8,307
Dove,45,1457.0,9,307
Karl,43,1505.0,10,307
Matt,66,1597.0,1,308
Andy,60,1609.0,2,308
Sam,58,1455.0,3,308
Tim,56,1558.0,4,308
Mikey,55,1434.0,5,308
Nick,53,1483.0,6,308
Mike,49,1435.0,7,308
Dove,47,1492.0,8,308
Karl,45,1519.0,9,308
John,43,1301.0,10,308
Mike,65,1481.0,1,309
Matt,59,1586.0,2,309
Andy,58,1577.0,3,309
Karl,56,1583.0,4,309
Tim,54,1543.0,5,309
Sam,54,1397.0,6,309
Mikey,52,1430.0,7,309
Nick,46,1487.0,8,309
Dove,44,1509.0,9,309
John,44,1364.0,10,309
Matt,65,1608.0,1,310
Tim,65,1598.0,2,310
Mike,61,1510.0,3,310
Nick,60,1539.0,4,310
Andy,54,1543.0,5,310
Karl,51,1505.0,6,310
Mikey,49,1419.0,7,310
Sam,48,1372.0,8,310
Dove,47,1506.0,9,310
John,34,1251.0,10,310
Nick,72,1541.0,1,311
Matt,62,1564.0,2,311
Sam,62,1442.0,3,311
Andy,60,1531.0,4,311
Mike,55,1468.0,5,311
Tim,50,1527.0,6,311
Mikey,48,1451.0,7,311
John,46,1288.0,8,311
Dove,44,1534.0,9,311
Karl,33,1378.0,10,311
Mike,64,1495.0,1,312
Tim,62,1618.0,2,312
Andy,58,1602.0,3,312
Matt,57,1626.0,4,312
Sam,55,1447.0,5,312
Nick,50,1487.0,6,312
Dove,50,1476.0,7,312
John,49,1316.0,8,312
Karl,48,1468.0,9,312
Mikey,38,1398.0,10,312
Matt,70,1581.0,1,313
Tim,60,1603.0,2,313
Mike,59,1408.0,3,313
Nick,57,1486.0,4,313
John,56,1259.0,5,313
Andy,53,1554.0,6,313
Dove,51,1488.0,7,313
Sam,48,1401.0,8,313
Mikey,41,1426.0,9,313
Karl,34,1435.0,10,313
Sam,69,1504.0,1,314
Mike,62,1503.0,2,314
Andy,60,1586.0,3,314
Tim,55,1585.0,4,314
Matt,54,1561.0,5,314
Nick,52,1412.0,6,314
Mikey,51,1481.0,7,314
John,49,1333.0,8,314
Dove,42,1492.0,9,314
Karl,37,1450.0,10,314
Matt,65,1586.0,1,315
Tim,58,1465.0,2,315
Karl,56,1491.0,3,315
Mikey,56,1376.0,4,315
Nick,55,1469.0,5,315
Mike,55,1410.0,6,315
Andy,48,1451.0,7,315
Dove,47,1445.0,8,315
Sam,45,1369.0,9,315
John,44,1128.0,10,315
Tim,70,1680.0,1,316
Andy,64,1660.0,2,316
Dove,56,1555.0,3,316
Nick,55,1549.0,4,316
Matt,53,1521.0,5,316
Mike,53,1407.0,6,316
Sam,49,1420.0,7,316
John,46,1333.0,8,316
Mikey,44,1433.0,9,316
Karl,42,1466.0,10,316
Tim,66,1594.0,1,317
Mike,64,1540.0,2,317
Andy,57,1614.0,3,317
Mikey,55,1482.0,4,317
John,54,1398.0,5,317
Dove,53,1511.0,6,317
Sam,52,1418.0,7,317
Matt,48,1529.0,8,317
Nick,47,1461.0,9,317
Karl,34,1429.0,10,317
Andy,67,1595.0,1,318
Matt,65,1578.0,2,318
Sam,63,1514.0,3,318
Tim,62,1590.0,4,318
Nick,58,1452.0,5,318
Mike,49,1424.0,6,318
Karl,47,1526.0,7,318
John,47,1321.0,8,318
Dove,38,1562.0,9,318
Mikey,37,1450.0,10,318
Tim,65,1528.0,1,319
Matt,63,1677.0,2,319
Dove,61,1596.0,3,319
Karl,53,1563.0,4,319
Andy,52,1432.0,5,319
Sam,50,1431.0,6,319
Mikey,49,1444.0,7,319
Nick,48,1487.0,8,319
Mike,47,1409.0,9,319
John,42,1326.0,10,319
Andy,64,1595.0,1,320
Matt,63,1607.0,2,320
Mike,62,1456.0,3,320
Tim,61,1585.0,4,320
Sam,55,1392.0,5,320
Mikey,53,1404.0,6,320
John,48,1299.0,7,320
Nick,45,1419.0,8,320
Dove,41,1509.0,9,320
Karl,39,1423.0,10,320
Andy,68,1674.0,1,321
Nick,64,1496.0,2,321
Tim,62,1543.0,3,321
Sam,60,1460.0,4,321
Matt,56,1579.0,5,321
Mikey,51,1374.0,6,321
Mike,47,1420.0,7,321
John,43,1288.0,8,321
Karl,42,1521.0,9,321
Dove,38,1392.0,10,321
Sam,67,1414.0,1,322
Matt,66,1607.0,2,322
Nick,60,1577.0,3,322
Mikey,59,1441.0,4,322
Tim,55,1587.0,5,322
Mike,52,1460.0,6,322
Dove,50,1519.0,7,322
Andy,49,1524.0,8,322
John,40,1204.0,9,322
Karl,35,1441.0,10,322
Matt,66,1608.0,1,323
Andy,65,1610.0,2,323
Tim,61,1553.0,3,323
Nick,58,1473.0,4,323
Mikey,51,1477.0,5,323
Dove,50,1489.0,6,323
Mike,50,1414.0,7,323
Sam,48,1467.0,8,323
Karl,45,1487.0,9,323
John,37,1285.0,10,323
Andy,68,1639.0,1,324
Matt,63,1511.0,2,324
Sam,63,1435.0,3,324
Mike,61,1450.0,4,324
Nick,58,1497.0,5,324
John,55,1388.0,6,324
Dove,47,1481.0,7,324
Tim,43,1491.0,8,324
Mikey,38,1382.0,9,324
Karl,36,1485.0,10,324
Matt,69,1652.0,1,325
Tim,65,1551.0,2,325
Andy,64,1590.0,3,325
Sam,54,1450.0,4,325
Dove,53,1542.0,5,325
Nick,48,1466.0,6,325
Mike,48,1418.0,7,325
Mikey,46,1342.0,8,325
John,43,1258.0,9,325
Karl,40,1429.0,10,325
Sam,69,1486.0,1,326
Mike,59,1486.0,2,326
Andy,58,1593.0,3,326
Tim,58,1540.0,4,326
Nick,57,1533.0,5,326
Mikey,55,1469.0,6,326
Matt,50,1501.0,7,326
Dove,44,1482.0,8,326
Karl,42,1520.0,9,326
John,41,1357.0,10,326
Matt,80,1696.0,1,327
Andy,63,1563.0,2,327
Mike,58,1471.0,3,327
Nick,57,1524.0,4,327
Sam,54,1381.0,5,327
Tim,52,1544.0,6,327
Mikey,46,1406.0,7,327
John,46,1309.0,8,327
Karl,41,1464.0,9,327
Dove,38,1368.0,10,327
Tim,70,1608.0,1,328
Mike,68,1546.0,2,328
Sam,61,1430.0,3,328
Andy,57,1584.0,4,328
John,56,1351.0,5,328
Dove,48,1493.0,6,328
Mikey,46,1413.0,7,328
Matt,45,1459.0,8,328
Nick,43,1425.0,9,328
Karl,38,1470.0,10,328
Tim,65,1545.0,1,329
Matt,61,1646.0,2,329
Andy,58,1562.0,3,329
John,58,1335.0,4,329
Nick,54,1505.0,5,329
Mike,50,1364.0,6,329
Sam,50,1363.0,7,329
Dove,48,1477.0,8,329
Mikey,47,1426.0,9,329
Karl,39,1486.0,10,329
Sam,70,1431.0,1,330
Matt,63,1560.0,2,330
Mikey,58,1426.0,3,330
Tim,55,1566.0,4,330
Andy,55,1556.0,5,330
Dove,53,1476.0,6,330
John,48,1384.0,7,330
Nick,45,1485.0,8,330
Karl,43,1497.0,9,330
Mike,41,1410.0,10,330
Sam,72,1459.0,1,331
Matt,65,1619.0,2,331
Andy,60,1611.0,3,331
Tim,58,1609.0,4,331
Nick,54,1470.0,5,331
Mike,50,1493.0,6,331
John,49,1312.0,7,331
Mikey,43,1464.0,8,331
Karl,42,1433.0,9,331
Dove,41,1483.0,10,331
Andy,81,1699.0,1,332
Nick,70,1517.0,2,332
Matt,59,1556.0,3,332
Mike,58,1484.0,4,332
Sam,57,1463.0,5,332
Tim,46,1535.0,6,332
John,46,1294.0,7,332
Mikey,44,1420.0,8,332
Karl,38,1434.0,9,332
Dove,35,1410.0,10,332
Andy,66,1610.0,1,333
Matt,60,1634.0,2,333
Tim,59,1604.0,3,333
Sam,57,1485.0,4,333
Mikey,55,1400.0,5,333
Karl,54,1523.0,6,333
Nick,51,1489.0,7,333
Mike,47,1423.0,8,333
Dove,42,1503.0,9,333
John,41,1267.0,10,333
Matt,77,1611.0,1,334
Tim,62,1515.0,2,334
Nick,60,1508.0,3,334
Mike,58,1464.0,4,334
Mikey,52,1431.0,5,334
Andy,51,1496.0,6,334
Sam,49,1384.0,7,334
Dove,48,1473.0,8,334
John,46,1329.0,9,334
Karl,30,1434.0,10,334
Tim,67,1571.0,1,335
Sam,63,1437.0,2,335
Mike,62,1460.0,3,335
Nick,54,1441.0,4,335
Mikey,53,1441.0,5,335
Andy,51,1490.0,6,335
Matt,50,1466.0,7,335
Karl,47,1475.0,8,335
John,46,1268.0,9,335
Dove,41,1431.0,10,335
Nick,65,1579.0,1,336
Mike,61,1514.0,2,336
Andy,60,1623.0,3,336
Matt,60,1556.0,4,336
Tim,59,1542.0,5,336
Sam,57,1446.0,6,336
John,53,1313.0,7,336
Dove,44,1525.0,8,336
Mikey,40,1419.0,9,336
Karl,33,1378.0,10,336
Sam,63,1541.0,1,337
Tim,61,1603.0,2,337
Mike,61,1407.0,3,337
Andy,58,1591.0,4,337
Mikey,58,1428.0,5,337
Matt,56,1497.0,6,337
Nick,54,1431.0,7,337
Karl,48,1485.0,8,337
John,43,1384.0,9,337
Dove,32,1421.0,10,337
Mike,64,1471.0,1,338
Andy,60,1597.0,2,338
Matt,57,1616.0,3,338
Mikey,55,1433.0,4,338
Tim,54,1496.0,5,338
Sam,54,1383.0,6,338
Karl,53,1460.0,7,338
Nick,51,1445.0,8,338
Dove,44,1432.0,9,338
John,38,1207.0,10,338
Matt,62,1622.0,1,339
Mikey,58,1509.0,2,339
Nick,58,1430.0,3,339
Sam,56,1449.0,4,339
Andy,55,1543.0,5,339
Tim,51,1592.0,6,339
Mike,50,1450.0,7,339
Dove,49,1491.0,8,339
John,47,1371.0,9,339
Karl,44,1429.0,10,339
Andy,72,1689.0,1,340
Mike,64,1492.0,2,340
Matt,60,1583.0,3,340
Mikey,56,1466.0,4,340
Nick,52,1411.0,5,340
Sam,52,1375.0,6,340
Tim,50,1516.0,7,340
John,46,1325.0,8,340
Karl,42,1460.0,9,340
Dove,38,1530.0,10,340
Tim,67,1535.0,1,341
Matt,59,1624.0,2,341
Mike,58,1517.0,3,341
Andy,57,1625.0,4,341
Nick,57,1518.0,5,341
Sam,54,1436.0,6,341
Mikey,50,1418.0,7,341
John,48,1275.0,8,341
Dove,44,1481.0,9,341
Karl,39,1487.0,10,341
Sam,72,1561.0,1,342
Matt,62,1593.0,2,342
Dove,59,1573.0,3,342
Andy,57,1600.0,4,342
Mikey,55,1505.0,5,342
John,55,1433.0,6,342
Tim,49,1504.0,7,342
Nick,45,1492.0,8,342
Mike,43,1394.0,9,342
Karl,38,1475.0,10,342
Nick,69,1533.0,1,343
Mike,67,1505.0,2,343
Matt,65,1607.0,3,343
Sam,55,1448.0,4,343
Mikey,53,1398.0,5,343
Tim,52,1582.0,6,343
Andy,48,1531.0,7,343
John,47,1323.0,8,343
Karl,42,1514.0,9,343
Dove,33,1476.0,10,343
Mike,70,1488.0,1,344
Nick,57,1409.0,2,344
Matt,56,1551.0,3,344
Andy,54,1572.0,4,344
Sam,54,1407.0,5,344
Tim,52,1473.0,6,344
John,52,1375.0,7,344
Dove,50,1501.0,8,344
Mikey,47,1433.0,9,344
Karl,42,1487.0,10,344
Andy,64,1559.0,1,345
Tim,62,1566.0,2,345
Mike,60,1499.0,3,345
Matt,56,1566.0,4,345
Nick,55,1540.0,5,345
Mikey,53,1462.0,6,345
Sam,49,1398.0,7,345
Karl,48,1523.0,8,345
John,43,1352.0,9,345
Dove,41,1389.0,10,345
Sam,66,1487.0,1,346
Mike,64,1563.0,2,346
Matt,63,1652.0,3,346
Tim,61,1590.0,4,346
Andy,54,1542.0,5,346
Mikey,52,1402.0,6,346
Nick,46,1510.0,7,346
John,44,1269.0,8,346
Dove,42,1454.0,9,346
Karl,41,1564.0,10,346
Tim,64,1540.0,1,347
Dove,63,1580.0,2,347
Mike,56,1471.0,3,347
Mikey,56,1433.0,4,347
Matt,54,1552.0,5,347
Sam,54,1457.0,6,347
Andy,51,1506.0,7,347
Nick,51,1415.0,8,347
Karl,42,1429.0,9,347
John,41,1340.0,10,347
Tim,62,1585.0,1,348
Mike,61,1367.0,2,348
Sam,60,1500.0,3,348
Andy,54,1650.0,4,348
Matt,54,1571.0,5,348
Nick,54,1443.0,6,348
Dove,53,1534.0,7,348
Karl,50,1514.0,8,348
John,44,1310.0,9,348
Mikey,40,1414.0,10,348
John,64,1370.0,1,349
Matt,59,1566.0,2,349
Mike,56,1503.0,3,349
Andy,54,1608.0,4,349
Sam,53,1403.0,5,349
Nick,51,1527.0,6,349
Tim,51,1526.0,7,349
Karl,48,1546.0,8,349
Dove,48,1470.0,9,349
Mikey,47,1469.0,10,349
Matt,68,1548.0,1,350
Mike,68,1412.0,2,350
Andy,60,1563.0,3,350
Mikey,58,1464.0,4,350
Nick,56,1429.0,5,350
Tim,54,1535.0,6,350
Sam,46,1437.0,7,350
John,44,1295.0,8,350
Dove,43,1511.0,9,350
Karl,32,1490.0,10,350
Nick,63,1489.0,1,351
Matt,62,1599.0,2,351
Andy,58,1531.0,3,351
Tim,57,1594.0,4,351
Mikey,56,1431.0,5,351
Mike,56,1414.0,6,351
Sam,52,1417.0,7,351
Karl,46,1512.0,8,351
Dove,41,1470.0,9,351
John,38,1420.0,10,351
Sam,67,1518.0,1,352
Matt,65,1618.0,2,352
Andy,64,1588.0,3,352
Mike,57,1446.0,4,352
Tim,56,1542.0,5,352
Mikey,55,1458.0,6,352
Nick,51,1465.0,7,352
John,46,1259.0,8,352
Dove,39,1466.0,9,352
Karl,32,1410.0,10,352
Nick,69,1566.0,1,353
Andy,61,1575.0,2,353
Mike,58,1486.0,3,353
Matt,57,1571.0,4,353
Tim,55,1505.0,5,353
Dove,53,1549.0,6,353
Sam,50,1449.0,7,353
Mikey,49,1381.0,8,353
Karl,41,1444.0,9,353
John,40,1354.0,10,353
Tim,77,1597.0,1,354
Matt,71,1620.0,2,354
Andy,58,1640.0,3,354
Sam,57,1472.0,4,354
Nick,52,1483.0,5,354
