Player,Table Points,Player_Score,Rank,Simulation
Mike,49,1388.0,7,18
Dove,47,1501.0,8,18
Karl,42,1475.0,9,18
John,37,1266.0,10,18
Matt,71,1613.0,1,19
Sam,63,1520.0,2,19
Mike,61,1445.0,3,19
Andy,57,1519.0,4,19
John,56,1348.0,5,19
Karl,48,1516.0,6,19
Tim,47,1542.0,7,19
Nick,47,1467.0,8,19
Dove,41,1452.0,9,19
Mikey,41,1408.0,10,19
Sam,69,1516.0,1,20
Andy,63,1657.0,2,20
Nick,57,1510.0,3,20
Tim,56,1617.0,4,20
John,52,1372.0,5,20
Karl,50,1462.0,6,20
Mike,50,1371.0,7,20
Matt,48,1504.0,8,20
Dove,45,1474.0,9,20
Mikey,43,1440.0,10,20
Sam,67,1544.0,1,21
Nick,66,1519.0,2,21
Mike,64,1444.0,3,21
Mikey,61,1452.0,4,21
Andy,57,1655.0,5,21
Tim,53,1547.0,6,21
Matt,51,1575.0,7,21
John,50,1371.0,8,21
Dove,35,1498.0,9,21
Karl,29,1370.0,10,21
Tim,64,1577.0,1,22
Matt,62,1578.0,2,22
Nick,58,1506.0,3,22
Mike,56,1470.0,4,22
John,56,1379.0,5,22
Sam,52,1443.0,6,22
Mikey,52,1436.0,7,22
Andy,48,1562.0,8,22
Dove,44,1558.0,9,22
Karl,41,1481.0,10,22
Matt,74,1620.0,1,23
Mike,60,1360.0,2,23
Tim,58,1531.0,3,23
Sam,57,1391.0,4,23
Andy,52,1486.0,5,23
Nick,51,1492.0,6,23
Dove,47,1456.0,7,23
Mikey,46,1454.0,8,23
John,46,1376.0,9,23
Karl,42,1426.0,10,23
Sam,67,1468.0,1,24
Mike,59,1469.0,2,24
Tim,58,1469.0,3,24
Mikey,56,1478.0,4,24
Andy,55,1614.0,5,24
John,55,1320.0,6,24
Nick,52,1500.0,7,24
Matt,48,1538.0,8,24
Dove,48,1467.0,9,24
Karl,33,1460.0,10,24
Matt,71,1597.0,1,25
Tim,70,1586.0,2,25
Mikey,61,1497.0,3,25
Andy,60,1530.0,4,25
Sam,57,1463.0,5,25
John,50,1399.0,6,25
Mike,47,1478.0,7,25
Nick,40,1391.0,8,25
Karl,39,1462.0,9,25
Dove,38,1479.0,10,25
Matt,71,1666.0,1,26
Sam,69,1506.0,2,26
Andy,60,1625.0,3,26
Tim,55,1530.0,4,26
Mikey,53,1403.0,5,26
Mike,49,1420.0,6,26
John,49,1330.0,7,26
Dove,47,1464.0,8,26
Nick,40,1432.0,9,26
Karl,39,1405.0,10,26
Tim,70,1621.0,1,27
Andy,60,1521.0,2,27
Nick,60,1422.0,3,27
Mike,58,1441.0,4,27
Sam,57,1442.0,5,27
Mikey,55,1453.0,6,27
Matt,53,1540.0,7,27
Dove,44,1486.0,8,27
Karl,44,1474.0,9,27
John,34,1219.0,10,27
Andy,63,1572.0,1,28
Mikey,62,1463.0,2,28
Sam,60,1407.0,3,28
Nick,58,1542.0,4,28
Tim,53,1551.0,5,28
Mike,51,1475.0,6,28
Matt,50,1620.0,7,28
Dove,50,1615.0,8,28
Karl,47,1474.0,9,28
John,38,1308.0,10,28
Andy,66,1629.0,1,29
Tim,58,1561.0,2,29
Matt,57,1519.0,3,29
Dove,56,1524.0,4,29
Mike,55,1411.0,5,29
Mikey,54,1475.0,6,29
John,52,1387.0,7,29
Sam,49,1398.0,8,29
Karl,44,1470.0,9,29
Nick,42,1434.0,10,29
Andy,66,1626.0,1,30
Nick,60,1463.0,2,30
Tim,59,1549.0,3,30
Mike,58,1431.0,4,30
Dove,53,1543.0,5,30
Karl,50,1487.0,6,30
Mikey,49,1459.0,7,30
Matt,48,1496.0,8,30
John,47,1284.0,9,30
Sam,43,1384.0,10,30
Andy,63,1593.0,1,31
Mikey,61,1539.0,2,31
Matt,60,1562.0,3,31
Sam,58,1506.0,4,31
Mike,54,1431.0,5,31
Tim,53,1597.0,6,31
Dove,53,1468.0,7,31
Nick,48,1453.0,8,31
John,44,1336.0,9,31
Karl,38,1506.0,10,31
Tim,67,1598.0,1,32
Mike,67,1554.0,2,32
Sam,63,1485.0,3,32
Matt,56,1612.0,4,32
Andy,54,1644.0,5,32
Dove,52,1548.0,6,32
Mikey,49,1376.0,7,32
John,44,1387.0,8,32
Nick,42,1482.0,9,32
Karl,39,1436.0,10,32
Nick,64,1536.0,1,33
Tim,61,1561.0,2,33
Andy,60,1555.0,3,33
Matt,57,1633.0,4,33
Sam,54,1471.0,5,33
Mike,52,1473.0,6,33
Mikey,52,1427.0,7,33
Dove,47,1509.0,8,33
John,46,1367.0,9,33
Karl,41,1511.0,10,33
Andy,63,1566.0,1,34
Mike,61,1423.0,2,34
Matt,58,1692.0,3,34
Sam,57,1495.0,4,34
Nick,56,1537.0,5,34
Tim,53,1531.0,6,34
John,53,1294.0,7,34
Mikey,49,1462.0,8,34
Karl,44,1545.0,9,34
Dove,36,1498.0,10,34
Matt,68,1643.0,1,35
Andy,66,1719.0,2,35
Mike,61,1470.0,3,35
Tim,59,1611.0,4,35
Mikey,56,1452.0,5,35
Nick,54,1471.0,6,35
